PC=00000000, REG[30]=00000000
PC=00000004, REG[ 1]=00000000
PC=00000008, REG[ 2]=00000001
PC=0000000c, REG[21]=00000001
PC=00000010, REG[30]=00000001
PC=00000014, ---
PC=0000030c, REG[21]=00000001
PC=00000310, REG[30]=00000001
PC=00000314, ---
PC=00000318, ---
PC=00000024, REG[21]=00000000
PC=00000028, REG[30]=00000001
PC=0000002c, ---
PC=00000324, REG[21]=00000002
PC=00000328, REG[30]=00000003
PC=0000032c, ---
PC=00000330, ---
PC=0000003c, REG[21]=00000004
PC=00000040, REG[30]=00000007
PC=00000044, ---
PC=0000033c, REG[21]=00000004
PC=00000340, REG[30]=00000007
PC=00000344, ---
PC=00000348, ---
PC=00000054, REG[21]=00000008
PC=00000058, REG[30]=0000000f
PC=0000005c, ---
PC=00000354, REG[21]=00000008
PC=00000358, REG[30]=0000000f
PC=0000035c, ---
PC=00000360, ---
PC=0000006c, REG[21]=00000000
PC=00000070, REG[30]=0000000f
PC=00000074, ---
PC=0000036c, REG[21]=00000000
PC=00000370, REG[30]=0000000f
PC=00000374, ---
PC=00000378, ---
PC=00000084, REG[21]=00000020
PC=00000088, REG[30]=0000002f
PC=0000008c, ---
PC=00000384, REG[21]=00000020
PC=00000388, REG[30]=0000002f
PC=0000038c, ---
PC=00000390, ---
PC=0000009c, REG[21]=00000000
PC=000000a0, REG[30]=0000002f
PC=000000a4, ---
PC=0000039c, REG[21]=00000040
PC=000003a0, REG[30]=0000006f
PC=000003a4, ---
PC=000003a8, ---
PC=000000b4, REG[21]=00000080
PC=000000b8, REG[30]=000000ef
PC=000000bc, ---
PC=000003b4, REG[21]=00000080
PC=000003b8, REG[30]=000000ef
PC=000003bc, ---
PC=000003c0, ---
PC=000000cc, REG[21]=00000000
PC=000000d0, REG[30]=000000ef
PC=000000d4, ---
PC=000003cc, REG[21]=00000000
PC=000003d0, REG[30]=000000ef
PC=000003d4, ---
PC=000003d8, ---
PC=000000e4, REG[21]=00000200
PC=000000e8, REG[30]=000002ef
PC=000000ec, ---
PC=000003e4, REG[21]=00000200
PC=000003e8, REG[30]=000002ef
PC=000003ec, ---
PC=000003f0, ---
PC=000000fc, REG[21]=00000000
PC=00000100, REG[30]=000002ef
PC=00000104, ---
